Mês/Ano,Região Origem,Região Destino,Vendas de Biodiesel
01/2017,CENTRO OESTE,CENTRO OESTE,"35379,798"
01/2017,NORDESTE,NÃO INFORMADA,"89,316"
01/2017,SUL,NÃO INFORMADA,"130,007"
01/2017,CENTRO OESTE,NORDESTE,"35581,131"
01/2017,NORDESTE,NORDESTE,"20324,386"
01/2017,SUDESTE,NORDESTE,"6201,199"
01/2017,SUL,NORDESTE,"294,226"
01/2017,CENTRO OESTE,NORTE,"7783,813"
01/2017,CENTRO OESTE,SUDESTE,"26634,568"
01/2017,NORDESTE,SUDESTE,"421,146"
01/2017,SUDESTE,SUDESTE,"17851,154"
01/2017,SUL,SUDESTE,"47590,706"
01/2017,CENTRO OESTE,SUL,"788,323"
01/2017,SUL,SUL,"56343,163"
02/2017,CENTRO OESTE,CENTRO OESTE,"36462,762"
02/2017,NORDESTE,NÃO INFORMADA,"90,217"
02/2017,SUL,NÃO INFORMADA,"43,692"
02/2017,CENTRO OESTE,NORDESTE,"29108,305"
02/2017,NORDESTE,NORDESTE,"17420,720"
02/2017,SUDESTE,NORDESTE,"5644,683"
02/2017,CENTRO OESTE,NORTE,"7517,155"
02/2017,CENTRO OESTE,SUDESTE,"33193,515"
02/2017,NORDESTE,SUDESTE,"376,376"
02/2017,SUDESTE,SUDESTE,"17106,630"
02/2017,SUL,SUDESTE,"43243,424"
02/2017,CENTRO OESTE,SUL,"1282,700"
02/2017,SUDESTE,SUL,"330,473"
02/2017,SUL,SUL,"60460,779"
03/2017,CENTRO OESTE,CENTRO OESTE,"47977,564"
03/2017,CENTRO OESTE,NORDESTE,"30677,454"
03/2017,NORDESTE,NORDESTE,"22022,344"
03/2017,SUDESTE,NORDESTE,"7152,376"
03/2017,CENTRO OESTE,NORTE,"16297,171"
03/2017,NORTE,NORTE,"338,709"
03/2017,CENTRO OESTE,SUDESTE,"44342,871"
03/2017,SUDESTE,SUDESTE,"12200,482"
03/2017,SUL,SUDESTE,"62465,777"
03/2017,CENTRO OESTE,SUL,"1727,971"
03/2017,SUDESTE,SUL,"41,747"
03/2017,SUL,SUL,"91680,449"
04/2017,CENTRO OESTE,CENTRO OESTE,"38300,118"
04/2017,CENTRO OESTE,NORDESTE,"36534,061"
04/2017,NORDESTE,NORDESTE,"21340,755"
04/2017,SUDESTE,NORDESTE,"6175,147"
04/2017,SUL,NORDESTE,"43,771"
04/2017,CENTRO OESTE,NORTE,"10159,929"
04/2017,CENTRO OESTE,SUDESTE,"47759,974"
04/2017,SUDESTE,SUDESTE,"11904,550"
04/2017,SUL,SUDESTE,"59909,058"
04/2017,CENTRO OESTE,SUL,"1017,901"
04/2017,SUL,SUL,"82174,767"
05/2017,CENTRO OESTE,CENTRO OESTE,"44267,748"
05/2017,NORTE,CENTRO OESTE,"180,896"
05/2017,CENTRO OESTE,NORDESTE,"44247,632"
05/2017,NORDESTE,NORDESTE,"21487,045"
05/2017,SUDESTE,NORDESTE,"7309,316"
05/2017,CENTRO OESTE,NORTE,"13283,663"
05/2017,CENTRO OESTE,SUDESTE,"47427,671"
05/2017,SUDESTE,SUDESTE,"17489,982"
05/2017,SUL,SUDESTE,"71279,266"
05/2017,CENTRO OESTE,SUL,"1726,351"
05/2017,SUL,SUL,"85200,741"
06/2017,CENTRO OESTE,CENTRO OESTE,"47409,387"
06/2017,NORTE,CENTRO OESTE,"172,695"
06/2017,SUDESTE,CENTRO OESTE,"285,398"
06/2017,CENTRO OESTE,NORDESTE,"38902,653"
06/2017,NORDESTE,NORDESTE,"21000,138"
06/2017,NORTE,NORDESTE,"197,655"
06/2017,SUDESTE,NORDESTE,"8153,167"
06/2017,SUL,NORDESTE,"34,867"
06/2017,CENTRO OESTE,NORTE,"16653,428"
06/2017,CENTRO OESTE,SUDESTE,"43962,826"
06/2017,SUDESTE,SUDESTE,"17737,724"
06/2017,SUL,SUDESTE,"66476,109"
06/2017,CENTRO OESTE,SUL,"3482,776"
06/2017,SUL,SUL,"82063,809"
07/2017,CENTRO OESTE,CENTRO OESTE,"46475,576"
07/2017,SUDESTE,CENTRO OESTE,"33,295"
07/2017,CENTRO OESTE,NORDESTE,"37062,079"
07/2017,NORDESTE,NORDESTE,"25147,059"
07/2017,NORTE,NORDESTE,"386,441"
07/2017,SUDESTE,NORDESTE,"5844,711"
07/2017,CENTRO OESTE,NORTE,"17304,463"
07/2017,CENTRO OESTE,SUDESTE,"49335,365"
07/2017,NORDESTE,SUDESTE,"42,639"
07/2017,SUDESTE,SUDESTE,"23890,019"
07/2017,SUL,SUDESTE,"60895,846"
07/2017,CENTRO OESTE,SUL,"1539,801"
07/2017,SUDESTE,SUL,"44,366"
07/2017,SUL,SUL,"88573,861"
08/2017,CENTRO OESTE,CENTRO OESTE,"48724,542"
08/2017,CENTRO OESTE,NORDESTE,"40601,593"
08/2017,NORDESTE,NORDESTE,"28537,574"
08/2017,SUDESTE,NORDESTE,"959,951"
08/2017,CENTRO OESTE,NORTE,"19115,750"
08/2017,NORTE,NORTE,"44,757"
08/2017,CENTRO OESTE,SUDESTE,"53845,332"
08/2017,NORDESTE,SUDESTE,"430,530"
08/2017,SUDESTE,SUDESTE,"31926,660"
08/2017,SUL,SUDESTE,"68200,533"
08/2017,CENTRO OESTE,SUL,"1560,342"
08/2017,SUDESTE,SUL,"41,937"
08/2017,SUL,SUL,"90327,369"
09/2017,CENTRO OESTE,CENTRO OESTE,"41975,783"
09/2017,CENTRO OESTE,NORDESTE,"44603,717"
09/2017,NORDESTE,NORDESTE,"27720,935"
09/2017,NORTE,NORDESTE,"620,065"
09/2017,CENTRO OESTE,NORTE,"18195,074"
09/2017,NORTE,NORTE,"178,232"
09/2017,CENTRO OESTE,SUDESTE,"43426,464"
09/2017,NORDESTE,SUDESTE,"87,358"
09/2017,SUDESTE,SUDESTE,"37307,081"
09/2017,SUL,SUDESTE,"69779,526"
09/2017,CENTRO OESTE,SUL,"982,829"
09/2017,SUL,SUL,"97717,090"
10/2017,CENTRO OESTE,CENTRO OESTE,"46218,977"
10/2017,SUDESTE,CENTRO OESTE,"85,462"
10/2017,SUL,CENTRO OESTE,"372,829"
